Plik,Klasa,VSTD,VDR,VU,LSTER,Entropy,ZSTD,HZCRR
aba_1.wav,MOWA,0.3571,0.9963,15566.0,0.5714,3.98,0.04,0.1714
aba_2.wav,MOWA,0.3808,0.9975,18389.24,0.5625,3.93,0.0506,0.1562
abe_1.wav,MOWA,0.3484,0.9968,15200.81,0.5455,4.0,0.0457,0.1212
abe_2.wav,MOWA,0.2989,0.9983,17367.75,0.5625,4.0,0.0718,0.125
benzyna_1.wav,MOWA,0.1876,0.9987,49712.74,0.7317,3.02,0.0485,0.1707
benzyna_2.wav,MOWA,0.181,0.9983,31661.44,0.7209,3.22,0.0385,0.1395
bub_1.wav,MOWA,0.3187,0.9971,14923.93,0.6765,3.51,0.0531,0.1765
bub_2.wav,MOWA,0.3617,0.9936,12999.47,0.6429,3.45,0.0224,0.1786
chrzaszcz_1.wav,MOWA,0.2471,0.9917,16010.62,0.5946,3.51,0.1032,0.2703
chrzaszcz_2.wav,MOWA,0.2472,0.9911,12977.9,0.4688,3.79,0.1052,0.3125
cztery_1.wav,MOWA,0.3271,0.9919,10332.77,0.5185,3.79,0.1293,0.1852
cztery_2.wav,MOWA,0.3637,0.9947,9483.44,0.5789,4.04,0.1085,0.2368
dum_1.wav,MOWA,0.2717,0.9902,5919.51,0.7308,3.1,0.0116,0.1154
dum_2.wav,MOWA,0.2498,0.9849,9716.06,0.7333,3.19,0.0119,0.1
dwa_1.wav,MOWA,0.3226,0.9701,8383.28,0.5,3.4,0.0131,0.0556
dwa_2.wav,MOWA,0.3352,0.9957,6018.93,0.6333,3.5,0.0563,0.2
dziabba_1.wav,MOWA,0.3483,0.9936,30325.65,0.6,3.98,0.0273,0.15
dziabba_2.wav,MOWA,0.3462,0.9954,37331.46,0.5946,3.92,0.0474,0.1351
dziesiec_1.wav,MOWA,0.2649,0.9654,6079.71,0.6364,3.65,0.1193,0.2424
dziesiec_2.wav,MOWA,0.258,0.9942,7845.79,0.5946,3.94,0.0921,0.2432
dziewiec_1.wav,MOWA,0.284,0.9636,7129.89,0.5588,3.93,0.1033,0.1471
dziewiec_2.wav,MOWA,0.2861,0.9963,7795.18,0.5946,3.98,0.1277,0.2162
dzwiek_1.wav,MOWA,0.226,0.9981,23073.62,0.6316,3.49,0.0361,0.2368
dzwiek_2.wav,MOWA,0.2741,0.9968,15686.99,0.5938,3.64,0.0501,0.25
gum_1.wav,MOWA,0.3288,0.9835,7025.72,0.7333,3.41,0.015,0.1333
gum_2.wav,MOWA,0.3313,0.9877,10593.06,0.7,3.43,0.0165,0.1
gyr_1.wav,MOWA,0.3487,0.997,9520.47,0.6579,3.74,0.0619,0.1842
gyr_2.wav,MOWA,0.3684,0.9839,14067.79,0.5185,3.86,0.0108,0.2222
jajko_1.wav,MOWA,0.3267,0.9953,22675.12,0.6579,3.71,0.0355,0.1053
jajko_2.wav,MOWA,0.3271,0.9958,22624.32,0.6,3.85,0.0306,0.1429
jeden_1.wav,MOWA,0.3551,0.9507,16839.99,0.4,3.69,0.0097,0.05
jeden_2.wav,MOWA,0.3659,0.9825,9940.25,0.6,3.79,0.0114,0.1
komatyn_1.wav,MOWA,0.2722,0.9978,30959.71,0.6098,3.98,0.0347,0.1463
komatyn_2.wav,MOWA,0.36,0.9951,48561.23,0.6047,4.22,0.0183,0.186
kot_1.wav,MOWA,0.3382,0.9984,35000.29,0.7027,3.56,0.045,0.1351
kot_2.wav,MOWA,0.3543,0.9981,30118.25,0.6207,3.47,0.0452,0.1379
kurowa_1.wav,MOWA,0.3125,0.9979,31570.51,0.4773,4.6,0.0442,0.0909
kurowa_2.wav,MOWA,0.3124,0.998,55406.93,0.4865,4.37,0.015,0.2703
kwiat_1.wav,MOWA,0.3256,0.9974,35996.5,0.75,3.27,0.0355,0.2778
kwiat_2.wav,MOWA,0.3208,0.9971,31160.7,0.7353,3.43,0.034,0.2353
oczorach_1.wav,MOWA,0.2758,0.9986,38031.16,0.7111,3.52,0.0482,0.2
oczorach_2.wav,MOWA,0.3167,0.9984,45872.59,0.5952,4.03,0.0674,0.119
odrzutowiec_1.wav,MOWA,0.2141,0.9981,53059.55,0.6,4.03,0.1131,0.1333
odrzutowiec_2.wav,MOWA,0.223,0.9985,38914.49,0.5116,4.17,0.1462,0.1395
oga_1.wav,MOWA,0.3131,0.9969,14232.53,0.5588,3.96,0.0595,0.1176
oga_2.wav,MOWA,0.2782,0.9973,17383.43,0.6316,4.07,0.0458,0.0789
osiem_1.wav,MOWA,0.3139,0.9913,8671.01,0.6111,4.05,0.1039,0.1667
osiem_2.wav,MOWA,0.3117,0.9929,5175.46,0.5758,4.05,0.1283,0.2121
piec_1.wav,MOWA,0.288,0.9281,6628.88,0.52,3.75,0.0995,0.16
piec_2.wav,MOWA,0.3328,0.9851,9284.41,0.5667,3.91,0.1037,0.2
pies_1.wav,MOWA,0.3694,0.9979,23280.11,0.7059,3.29,0.1859,0.2059
pies_2.wav,MOWA,0.3444,0.9978,14721.07,0.5862,3.59,0.1296,0.2069
przetwarzanie_1.wav,MOWA,0.1926,0.9961,50151.45,0.6087,3.72,0.0712,0.1304
przetwarzanie_2.wav,MOWA,0.2571,0.996,32295.73,0.6538,4.21,0.0563,0.1346
samochod_1.wav,MOWA,0.3223,0.9974,42831.59,0.6222,4.16,0.147,0.1333
samochod_2.wav,MOWA,0.2911,0.995,43580.74,0.6087,4.21,0.1723,0.1304
siedem_1.wav,MOWA,0.3256,0.9594,9503.37,0.5312,4.02,0.1212,0.1875
siedem_2.wav,MOWA,0.2634,0.9832,4312.67,0.4571,4.19,0.1623,0.2286
szesc_1.wav,MOWA,0.3045,0.9798,6120.21,0.6875,3.52,0.136,0.3438
szesc_2.wav,MOWA,0.324,0.9838,9921.45,0.5429,4.07,0.1133,0.2857
tominor_1.wav,MOWA,0.2142,0.9984,33922.9,0.6667,3.65,0.0177,0.1111
tominor_2.wav,MOWA,0.1878,0.9985,53500.72,0.6923,3.33,0.0261,0.0769
trzy_1.wav,MOWA,0.3015,0.9955,6246.98,0.6786,3.47,0.1667,0.3214
trzy_2.wav,MOWA,0.2977,0.9936,5399.2,0.7241,3.47,0.194,0.4138
ugi_1.wav,MOWA,0.3634,0.9961,9684.87,0.5172,3.92,0.0769,0.1724
ugi_2.wav,MOWA,0.3578,0.9964,9763.78,0.5429,4.08,0.0647,0.2286
uwo_1.wav,MOWA,0.3487,0.9965,15007.06,0.5676,4.11,0.0551,0.1892
uwo_2.wav,MOWA,0.34,0.9964,12314.94,0.4667,3.99,0.0487,0.1667
zdanie_ala_1.wav,MOWA,0.2893,0.9983,105923.26,0.5,5.78,0.0288,0.1923
zdanie_ala_2.wav,MOWA,0.2907,0.9992,155234.05,0.5581,5.24,0.024,0.1512
zdanie_dlaczego_1.wav,MOWA,0.2325,0.9983,126530.04,0.5882,6.02,0.1023,0.1691
zdanie_dlaczego_2.wav,MOWA,0.162,0.9955,158972.71,0.6412,5.32,0.0853,0.1298
zero_1.wav,MOWA,0.3539,0.9808,21346.87,0.4615,3.93,0.1057,0.1923
zero_2.wav,MOWA,0.3654,0.9868,11803.1,0.5,3.94,0.0442,0.1333
zid_1.wav,MOWA,0.2969,0.9968,11624.39,0.6562,3.36,0.1862,0.2188
zid_2.wav,MOWA,0.3225,0.9924,10189.32,0.5312,3.92,0.1046,0.1562
akord_C.wav,INSTRUMENT,0.1946,0.9985,39291.47,0.7838,4.86,0.0372,0.173
akord_D.wav,INSTRUMENT,0.1307,0.9985,44273.32,0.7073,4.48,0.034,0.1707
akord_e.wav,INSTRUMENT,0.2112,0.998,37800.15,0.7391,5.22,0.0319,0.1925
akord_F.wav,INSTRUMENT,0.2057,0.9972,23684.66,0.8235,4.59,0.0342,0.1699
alikwot_0.wav,INSTRUMENT,0.2092,0.9981,38048.09,0.5844,5.94,0.0186,0.0844
alikwot_1.wav,INSTRUMENT,0.1951,0.9955,23324.48,0.5149,6.05,0.0128,0.1493
alikwot_2.wav,INSTRUMENT,0.1294,0.9967,17237.33,0.8281,3.71,0.012,0.0938
alikwot_3.wav,INSTRUMENT,0.1245,0.9955,13026.05,0.6943,4.38,0.0216,0.1083
alikwot_4.wav,INSTRUMENT,0.0979,0.9978,19106.19,0.9202,2.41,0.0347,0.1702
alikwot_5.wav,INSTRUMENT,0.0921,0.9952,15891.72,0.912,2.85,0.0316,0.1806
flazolet_1.wav,INSTRUMENT,0.3716,0.9982,63770.7,0.3434,6.0,0.0364,0.0505
flazolet_2.wav,INSTRUMENT,0.272,0.9986,57129.08,0.3333,5.95,0.032,0.0093
flazolet_3.wav,INSTRUMENT,0.424,0.9985,34762.71,0.4625,5.43,0.0371,0.025
flazolet_4.wav,INSTRUMENT,0.3973,0.9985,48504.74,0.396,5.94,0.0405,0.0297
flet_1.wav,INSTRUMENT,0.3601,0.9966,21996.74,0.3398,6.06,0.0185,0.0
flet_2.wav,INSTRUMENT,0.4071,0.9924,9491.25,0.2778,6.29,0.0312,0.0
flet_3.wav,INSTRUMENT,0.3854,0.9979,30082.91,0.4727,5.87,0.0799,0.0545
flet_4.wav,INSTRUMENT,0.4132,0.9954,11410.97,0.5146,5.73,0.03,0.068
gitara_a.wav,INSTRUMENT,0.175,0.9985,50271.08,0.6562,5.15,0.0113,0.0938
gitara_b.wav,INSTRUMENT,0.1651,0.998,22568.32,0.7717,5.38,0.0159,0.0315
gitara_d.wav,INSTRUMENT,0.2079,0.9978,39689.01,0.5197,6.28,0.013,0.0921
gitara_e-2.wav,INSTRUMENT,0.1662,0.9877,11616.41,0.5915,5.96,0.0102,0.1056
gitara_E.wav,INSTRUMENT,0.214,0.9972,48333.04,0.5822,5.93,0.0113,0.0753
gitara_g.wav,INSTRUMENT,0.228,0.997,22582.35,0.6794,5.36,0.0117,0.0611
smyczek.wav,INSTRUMENT,0.1558,0.9848,35824.88,0.2101,9.01,0.0339,0.1027
